location,latitude,longitude,aqi,last_updated,size
South East LLS Cooma,-36.2225,149.1335,26,2024-05-27T04:00:00+09:00,1
Murray LLS Kyalite,-35.0368,143.4895,13,2024-05-27T04:00:00+09:00,1
"Lore Lindu, Indonesia",-1.5190466,120.18524658954,57,2024-05-27T01:00:00+09:00,1
"Kototabang, Indonesia",-0.2028171,100.315808,20,2024-05-27T04:00:00+09:00,1
"Hambanathi Tongaat, eThekwini Metro, South Africa",-29.557419444444,31.120063888889,0,2024-05-24T15:00:00+09:00,1
"Ermelo-NAQI, Gert Sibande, South Africa",-26.493348,29.968054,0,2024-05-26T07:00:00+09:00,1
"North Farm, Polokwane, South Africa",-24.017956,29.475521,144,2024-05-27T04:00:00+09:00,1
"Richmond Plunket AQ, New Zealand",-41.3395984,173.18316353,42,2024-05-27T03:00:00+09:00,1
Riverina LLS Hay,-34.5348,144.8291,13,2024-05-27T04:00:00+09:00,1
North Maclean,-27.7708,153.03,0,2024-05-24T12:00:00+09:00,1
Winnellie,-12.424323299931,130.89335024357,77,2024-05-27T03:30:00+09:00,1
"Jakarta, Indonesia",-6.1603721,106.8473377,138,2024-05-27T04:00:00+09:00,1
"Morrinsville Morrinsville College, New Zealand",-37.649612622395,175.53579672352,13,2024-05-27T03:00:00+09:00,1
"Monash, Canberra",-35.418302,149.094018,102,2024-05-27T04:00:00+09:00,1
Richmond Sydney North-west,-33.61644,150.7473,49,2024-05-27T04:00:00+09:00,1
Armidale Northern Tablelands,-30.50851,151.66173,26,2024-05-27T04:00:00+09:00,1
"Kawéni Village, Mayotte, France",-12.772944,45.223206,17,2024-05-27T02:00:00+09:00,1
Wangaratta,-36.36926,146.3133,61,2024-05-27T04:00:00+09:00,1
Wagga Wagga Nth South-west Slopes,-35.104407,147.360512,84,2024-05-27T04:00:00+09:00,1
Lower-hunter Stockton,-32.901973,151.784274,69,2024-05-27T04:00:00+09:00,1
Cairns,-16.96162,145.7436,0,2024-05-24T12:00:00+09:00,1
Albany,-35.0238227,117.8847286,8,2024-05-27T04:00:00+09:00,1
"Worcester-NAQI, Cape Winelands, South Africa",-33.627489,19.468318,26,2024-05-26T23:00:00+09:00,1
"Invercargill Invercargill At Pomona Street, New Zealand",-46.431928390214,168.36991681188,9,2024-05-27T03:00:00+09:00,1
"Gore Gore At Main Street, New Zealand",-46.10620888899,168.9396792352,9,2024-05-27T03:00:00+09:00,1
"CBD RBCAA-NAQI, King Cetshwayo, South Africa",-28.7447,32.049242,63,2024-05-26T23:00:00+09:00,1
"Ermelo-NAQI, Gert Sibande, South Africa",-26.493348,29.968054,0,2024-05-26T07:00:00+09:00,1
"North Farm, Polokwane, South Africa",-24.017956,29.475521,144,2024-05-27T04:00:00+09:00,1
"Goodwood-NAQI, City of Cape Town, South Africa",-33.9025,18.565194,101,2024-05-27T04:00:00+09:00,1
"Grand Fond, Reunion, France",-21.044583333333,55.226713888889,10,2024-05-27T03:00:00+09:00,1
"Olievenhoutbosch-NAQI, City of Tshwane, South Africa",-25.911667,28.092939,276,2024-05-27T04:00:00+09:00,1
"Steelpoort, Sekhukhune, South Africa",-24.731501,30.134383,57,2024-05-26T23:00:00+09:00,1
"Orange Farm, City of Johannesburg, South Africa",-26.479639,27.867111,78,2024-05-27T04:00:00+09:00,1
"Mafikeng-NAQI, Ngaka Modiri Molema, South Africa",-25.835814,25.614534,184,2024-05-27T04:00:00+09:00,1
"Hermanus, Overberg, South Africa",-34.213,19.213,20,2024-05-27T04:00:00+09:00,1
"Worcester-NAQI, Cape Winelands, South Africa",-33.627489,19.468318,26,2024-05-26T23:00:00+09:00,1
"Station Blvd Banks, Reunion, France",-21.331666666667,55.478638888889,29,2024-05-27T03:00:00+09:00,1
"Damonsville, Bojanala Platinum, South Africa",-25.625702,27.851825,181,2024-05-27T04:00:00+09:00,1
"Kawéni Village, Mayotte, France",-12.772944,45.223206,17,2024-05-27T02:00:00+09:00,1
"Settlers-NAQI, eThekwini Metro, South Africa",-29.958742,30.978717,64,2024-05-26T23:00:00+09:00,1
"Brackenham - RBCAA, King Cetshwayo, South Africa",-28.787027,32.021848,68,2024-05-26T23:00:00+09:00,1
"Marikana CC-NAQI, Bojanala Platinum, South Africa",-25.698444,27.480111,80,2024-05-27T04:00:00+09:00,1
"Eskom-Medupi, Waterberg, South Africa",-23.738521,27.540346,0,2024-05-25T07:00:00+09:00,1
"Bierspruit, Swartklip, South Africa",-24.91039,27.146564,26,2024-05-27T04:00:00+09:00,1
"Lislet Geoffroy, Reunion, France",-20.889833333333,55.469111111111,13,2024-05-27T03:00:00+09:00,1
"Antananarivo US Embassy, Madagascar",-18.908479690552,47.537509918213,68,2024-05-27T04:00:00+09:00,1
"Mhluzi, Nkangala, South Africa",-25.74982,29.446818,2,2024-05-26T23:00:00+09:00,1
"Hammanskraal, City of Tshwane, South Africa",-25.38512,28.254542,32,2024-05-27T04:00:00+09:00,1
"eMalahleni -MP Province, Nkangala, South Africa",-25.92225,29.24163,19,2024-05-26T23:00:00+09:00,1
"Saldanha IDZ, West Coast, South Africa",-32.98312,17.98497,12,2024-05-27T04:00:00+09:00,1
"Pietermaritzburg Airport - ORIBI, uMgungundlovu, South Africa",-29.637583,30.337389,10,2024-05-27T04:00:00+09:00,1
"Columbus, Alfred Nzo, South Africa",-25.809675,29.505702,65,2024-05-27T04:00:00+09:00,1
"Leitrim, Fezile Dabi, South Africa",-26.851461,27.875845,82,2024-05-27T04:00:00+09:00,1
"Eskom-Gourikwa, Mossel Bay, South Africa",-34.179158,22.097439,1,2024-05-27T04:00:00+09:00,1
"Hambanathi Tongaat, eThekwini Metro, South Africa",-29.557419444444,31.120063888889,0,2024-05-24T15:00:00+09:00,1
"ES_Motherwell, Alfred Nzo, South Africa",-33.789662,25.618592,27,2024-05-27T03:00:00+09:00,1
"Secunda, Gert Sibande, South Africa",-26.550639,29.079028,151,2024-05-27T04:00:00+09:00,1
Moranbah,-21.9995,148.071,0,2024-05-24T12:00:00+09:00,1
"Kaiapoi, New Zealand",-43.3830321,172.6569578,96,2024-05-27T04:00:00+09:00,1
"Geraldine, New Zealand",-44.0911852,171.2437353,52,2024-05-27T04:00:00+09:00,1
Maryborough,-25.5159,152.6894,0,2024-05-24T12:00:00+09:00,1
