location,latitude,longitude,aqi,last_updated,size
Bathurst Central Tablelands,-33.40192,149.5746,27,2024-05-27T17:00:00+09:00,1
Central West LLS Parkes,-33.1277,148.2439,10,2024-05-27T17:00:00+09:00,1
Clinton,-24.0,151.0,11,2024-05-27T18:00:00+09:00,1
Western LLS Bourke,-30.0362,145.9521,7,2024-05-27T17:00:00+09:00,1
Mornington,-42.861,147.404,13,2024-05-27T18:00:00+09:00,1
Hadspen,-41.503,147.067,61,2024-05-27T18:00:00+09:00,1
Mildura,-34.1635132,142.139374,90,2024-05-27T18:00:00+09:00,1
"Malang, Indonesia",-7.9551897,112.6119383,87,2024-05-27T18:00:00+09:00,1
Sydney Penrith,-33.72687,150.70385,50,2024-05-27T17:00:00+09:00,1
Armidale Northern Tablelands,-30.50851,151.66173,62,2024-05-27T17:00:00+09:00,1
"Kawéni Village, Mayotte, France",-12.772944,45.223206,25,2024-05-27T15:00:00+09:00,1
"Eskom-Gourikwa, Mossel Bay, South Africa",-34.179158,22.097439,7,2024-05-27T18:00:00+09:00,1
"Gore Gore At Main Street, New Zealand",-46.10620888899,168.9396792352,26,2024-05-27T17:00:00+09:00,1
"Invercargill Invercargill At Pomona Street, New Zealand",-46.431928390214,168.36991681188,9,2024-05-27T17:00:00+09:00,1
"Tshwane Market, City of Tshwane, South Africa",-25.740247,28.170315,157,2024-05-27T15:00:00+09:00,1
"Orange Farm, City of Johannesburg, South Africa",-26.479639,27.867111,30,2024-05-27T18:00:00+09:00,1
"Mafikeng-NAQI, Ngaka Modiri Molema, South Africa",-25.835814,25.614534,36,2024-05-27T18:00:00+09:00,1
"Marikana CC-NAQI, Bojanala Platinum, South Africa",-25.698444,27.480111,98,2024-05-27T18:00:00+09:00,1
"Station Blvd Banks, Reunion, France",-21.331666666667,55.478638888889,21,2024-05-27T17:00:00+09:00,1
"Grand Fond, Reunion, France",-21.044583333333,55.226713888889,0,2024-05-27T17:00:00+09:00,1
"Settlers-NAQI, eThekwini Metro, South Africa",-29.958742,30.978717,73,2024-05-27T15:00:00+09:00,1
"CBD RBCAA-NAQI, King Cetshwayo, South Africa",-28.7447,32.049242,25,2024-05-27T15:00:00+09:00,1
"R D Tamarins St Leu, Reunion, France",-21.223063888889,55.302513888889,17,2024-05-27T17:00:00+09:00,1
"Brackenham - RBCAA, King Cetshwayo, South Africa",-28.787027,32.021848,55,2024-05-27T15:00:00+09:00,1
"Pietermaritzburg Airport - ORIBI, uMgungundlovu, South Africa",-29.637583,30.337389,10,2024-05-27T17:00:00+09:00,1
"Olievenhoutbosch-NAQI, City of Tshwane, South Africa",-25.911667,28.092939,648,2024-05-27T15:00:00+09:00,1
"Kawéni Village, Mayotte, France",-12.772944,45.223206,25,2024-05-27T15:00:00+09:00,1
"Leitrim, Fezile Dabi, South Africa",-26.851461,27.875845,188,2024-05-27T17:00:00+09:00,1
"Eskom-Gourikwa, Mossel Bay, South Africa",-34.179158,22.097439,7,2024-05-27T18:00:00+09:00,1
"Antananarivo US Embassy, Madagascar",-18.908479690552,47.537509918213,63,2024-05-27T18:00:00+09:00,1
"Eskom-Grootvlei, Gert Sibande, South Africa",-26.764724,28.480081,12,2024-05-27T15:00:00+09:00,1
"Hermanus, Overberg, South Africa",-34.213,19.213,16,2024-05-27T18:00:00+09:00,1
"Worcester-NAQI, Cape Winelands, South Africa",-33.627489,19.468318,14,2024-05-27T15:00:00+09:00,1
"Eskom-Silobela, Gert Sibande, South Africa",-26.086232,30.110653,0,2024-05-27T07:00:00+09:00,1
"Columbus, Alfred Nzo, South Africa",-25.809675,29.505702,53,2024-05-27T18:00:00+09:00,1
"Mhluzi, Nkangala, South Africa",-25.74982,29.446818,2,2024-05-27T15:00:00+09:00,1
"Steelpoort, Sekhukhune, South Africa",-24.731501,30.134383,69,2024-05-27T15:00:00+09:00,1
"Eskom-Kriel Village, Nkangala, South Africa",-26.251223,29.256391,38,2024-05-27T15:00:00+09:00,1
"Ermelo-NAQI, Gert Sibande, South Africa",-26.493348,29.968054,0,2024-05-27T07:00:00+09:00,1
"North Farm, Polokwane, South Africa",-24.017956,29.475521,155,2024-05-27T18:00:00+09:00,1
"Saldanha IDZ, West Coast, South Africa",-32.98312,17.98497,12,2024-05-27T18:00:00+09:00,1
"Eskom-Majuba, Gert Sibande, South Africa",-27.112752,29.800233,18,2024-05-27T15:00:00+09:00,1
"Embalenhle, Gert Sibande, South Africa",-26.551427,29.112381,124,2024-05-27T15:00:00+09:00,1
"Hammanskraal, City of Tshwane, South Africa",-25.38512,28.254542,32,2024-05-27T18:00:00+09:00,1
"Hostel, Swartklip, South Africa",-24.978439,27.140602,15,2024-05-27T18:00:00+09:00,1
